sentence_id,content,ID,S_ID,POS_CC,POS_CD,POS_DT,POS_EX,POS_FW,POS_IN,POS_JJ,POS_JJR,POS_JJS,POS_LS,POS_MD,POS_NN,POS_NNS,POS_NNP,POS_NNPS,POS_PDT,POS_POS,POS_PRP,POS_PRP$,POS_RB,POS_RBR,POS_RBS,POS_RP,POS_SYM,POS_TO,POS_UH,POS_VB,POS_VBZ,POS_VBP,POS_VBD,POS_VBN,POS_VBG,POS_WDT,POS_WP,POS_WP$,POS_WRB,POS_COMMA,POS_COLON,POS_lBRACKET,POS_rBRACKET,POS_POINT,LENGTH,OBJ,SENT,CON_SPEAKER,category
499," Mijnheer de minister, ik ben blij dat u erkent dat de toenmalige regering zeer goed werk heeft geleverd over de hele lijn, zoals de huidige regering dat in dit dossier de voorbije dagen heeft gedaan, met grote uitzondering van het zeer lichtzinnige lek",472,499,3,0,5,0,0,3,8,0,0,0,3,9,1,0,0,0,0,5,0,3,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,3,0,0,0,0,46,0.5745833333,0.138125000,NULL,NFS
1986,"De commissievoorzitter had het ook over gemiddeld 538 onderscheppingen per maand in onze provincie West- Vlaanderen gedurende het voorbije half jaar, wat een hoog cijfer is.",786,1986,0,1,3,0,1,4,3,0,0,0,2,6,1,1,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,29,0.3333333333,-0.050000000,NULL,CFS
660,Wij moeten het signaal geven dat wij er alles aan zullen doen om degenen die in het verleden overtredingen hebben begaan toch te bestraffen.,507,660,2,0,2,0,0,1,0,0,0,0,2,2,1,0,0,0,0,5,0,2,0,0,1,0,1,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,1,25,0.1000000000,0.000000000,NULL,NFS
794,We moeten vandaag een echt staakt-het-vuren in Aleppo vragen.,540,794,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,10,0.4000000000,0.200000000,NULL,NFS
2079,De voorbije jaren zijn de kosten voor de medische huizen met meer dan 10 % per jaar gestegen.,806,2079,0,2,3,0,0,3,2,0,0,0,1,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,19,0.1500000000,0.050000000,NULL,CFS
817,Dat mag ons niet verhinderen actie te ondernemen.,548,817,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0.0000000000,0.000000000,NULL,NFS
132,Het kiwimodel werkt bij ons niet,411,132,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.0000000000,0.000000000,NULL,NFS
1082,"De heer Gosuin, minister van Werk in Brussel, lacht ons vierkant uit.",607,1082,0,0,1,0,0,2,1,0,0,0,0,2,0,3,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,15,0.9000000000,0.100000000,NULL,NFS
2039,"In 2008 was er een rapport van het Federaal Kenniscentrum met een analyse van het verschil tussen de kosten in traditionele geneeskundige praktijken en de kosten in wijkgezondheidscentra, die forfaitair worden vergoed.",794,2039,1,1,6,0,0,7,3,0,0,0,2,4,3,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,34,0.1500000000,0.050000000,NULL,UFS
345,"Collega’s, een verkoopdossier is uiterst delicaat",441,345,0,0,1,0,0,0,1,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0.8000000000,0.000000000,NULL,NFS
