id,statement,label
9,In een aantal recente persartikels vernemen wij echter dat ons land nog steeds achterloopt en dat reeds meer dan 30.000 jobs in onze buurlanden werden gecreëerd en niet hier,FR
19,"Wie bekijkt waar de Europeanen land per land kopen en ook kijkt naar de top 3 van de Europeanen, merkt dat die landen tussen Duitsland en het Verenigd Koninkrijk worden verdeeld",FNR
20,"België is er gelukkig in geslaagd in de top 3 van twee buurlanden, namelijk Nederland en Frankrijk, te geraken",FNR
21,De Fransen en de Nederlanders kopen gelukkig stilaan ook heel graag op Belgische sites,FNR
55,"Het is niet al kommer en kwel, dat willen wij niet gezegd hebben",NF
61,Wij moeten ons voorbereiden op het toekomstige landschap,NF
68,Zij stelde voor om e-commerce te belasten,FNR
87," Mijnheer de voorzitter, ik dien samen met u vast te stellen dat niet alleen de minister van Werk goed nieuws brengt voor het Parlement, maar blijkbaar ook de minister van Binnenlandse Zaken",NF
97,De lokale politiemensen zitten op hun tandvlees; het is goed dat u dat heel goed beseft en dat er blijkbaar bijkomende middelen komen,FNR
98,Dat kan alleen maar toegejuicht worden,NF
113,"Ik weet het, voor u is dat geen argument",NF
114,"Maar meer dan dat, wij zijn Europeanen en het programma van mevrouw Le Pen is zeer gevaarlijk voor Frankrijk, voor Europa en voor België, met vele turbulenties met betrekking tot bijvoorbeeld onze munt",FNR
115,Er zijn verschillende redenen om zo’n standpunt in te nemen,NF
167,"Plots hoor ik dat het overschot in 2024 geen 3000 zal zijn, maar 1531, de helft dus",FR
221,Dat is een hele verbetering waarmee destijds werd gestart onder de bevoegdheid van mevrouw Onkelinx — dat mag ook worden gezegd — en wij hebben nog een en ander verfijnd,NF
236,U verstoort de kwaliteit en de organisatie van de gezondheidszorg,NF
249,"Mevrouw Wouters, ik wil nog het volgende zeggen",NF
259,Ecolo heeft in de commissie voor de Sociale Zaken en in het Parlement van de Franse Gemeenschap al uiting gegeven aan die bezorgdheid,FNR
268,  In het rapport van het Planbureau wordt een besparing van 700 miljoen euro vooropgesteld,FNR
312,"U hebt namens de Belgische Staat voor meer dan twee miljoen euro aandelen van BNP Paribas verkocht, zodat onze participatie daarin gedaald is tot 7,8 %",FR
425,"Er werd 9,4 miljard betaald voor de aandelen van Fortis, die vervolgens, korte tijd later, geruild zijn voor 121 miljoen aandelen van BNP Paribas",FR
452,"Inzake de communicatie kan ik u zeggen dat er gisteren op een bepaald moment, na de beslissing in het kernkabinet, een lek op Bloomberg is geweest",FNR
464,"Met BNP Paribas kan de federale begroting 70 miljoen euro per jaar verliezen, en nog eens 60 miljoen door de gedeeltelijke verkoop van Belfius",FR
529,"De grootste bank in België, waarin wij twee bestuurders hebben: geen visie",FNR
547,De al dan niet bij een vakbond aangesloten werknemers zullen hun vertegenwoordigers eindelijk daadwerkelijk en via een geheime stemming kunnen verkiezen,FNR
571,De regeringen in België hebben al jaren besloten dat de lonen problematisch hoog zijn.,FR
668,"Mijnheer de minister, ik dank u voor uw antwoord en voor het snelle ingrijpen.",NF
766,"De regering wil het zelfs afschuiven op een land als Libanon, waar nu al 1,5 miljoen Syrische vluchtelingen zitten op een bevolking van 4,5 miljoen mensen.",FR
773,Niemand bleek voorstander te zijn van een militaire interventie met Belgische of andere Europese grondtroepen.,FR
775,Meer dan 240 mensen werden geëvacueerd uit de gebieden die in handen zijn van de rebellen.,FR
779,Via de Europese Unie leveren we een bijdrage voor de opvang van vluchtelingen in Turkije.,FNR
800,"De gewonden worden geëvacueerd naar het gebied dat in handen is van de regeringstroepen en, als ze dat willen, naar rebellengebieden.",FNR
803,Er lopen verschillende besprekingen over corridors.,FNR
807,"Samen met 122 andere landen hebben we in de Algemene Vergadering van de Verenigde Naties gevraagd dat er in Aleppo een staakt-het-vuren wordt afgekondigd en dat er bewijzen worden verzameld, omdat wat er zich daar afspeelt, en wat als een schending van de mensenrechten moet worden gekwalificeerd, niet ongestraft kan blijven.",FR
869,Voor individuele visa geldt hetzelfde als voor individuele regularisaties.,FR
902,"Mijnheer de minister, op het Vlaamse niveau zegt de betrokken minister, mevrouw Homans, dat zij u heeft aangezocht ter zake een onderzoek in te stellen via de Veiligheid van de Staat.",FNR
919,Ik heb ook in België op dezelfde wijze van gedachten gewisseld met de hoofdvertegenwoordiger van de Diyanet naar aanleiding van de nieuwe erkenningsregels voor het Executief.,FNR
970,Ik zie ook dat tegenover dat bedrag geen enkele nieuwe maatregel staat.,FR
973,Dat was begin april2016 met de wereldwijde Panama Leaks over internationale circuits van belastingontwijking.,FNR
1046,De Belgische regering heeft niet formeel deelgenomen aan de eerder dit jaar opgestarte onderhandeling tussen de twee private en autonome ondernemingen.,FR
1084,Dit is wat men begrijpt in Brussel onder jobcreatie: jobdestructie in Vlaanderen.,NF
1092,"We zullen doen alsof u daar wel zitting in hebt, alsof u daar virtueel aanwezig zou zijn.",NF
1099,Het Overlegcomité krijgt het dossier pas ter behandeling vanaf het ogenblik dat een dergelijke procedure wordt opgestart.,FNR
1102,"Parlementsleden moeten hier met een papiertje staan, terwijl ministers een tekst mogen voorlezen, waarna ze ons op het einde naar de bevoegde persoon verwijzen.",NF
1105,U hoeft mij dat niet uit te leggen.,NF
1133,"Bedrijven mogen buiten de pool rekruteren, maar ze moeten toch een toeslag op hun loonmassa van 2,5 % betalen en de loonkosten gaan toch omhoog, in plaats van omlaag wat toch de doelstelling van deze regering is.",FR
1169,"Ten derde, de preclosure letter wordt aan de beklagers bezorgd.",FNR
1234,"U zegt dat u vandaag geen standpunt zult innemen, maar in uw documenten staat te lezen dat de afschaffing van de functie van onderzoeksrechter in de pijplijn zit.",FR
1249,"Zorgnet Vlaanderen zegt nu heel uitdrukkelijk over de onderbezetting van de spoeddiensten dat heel veel ziekenhuizen wel willen, maar de personeelskosten met de huidige financiering niet meer aankunnen.",FR
1255,Wij zijn in de helft van de legislatuur.,FNR
1288,"De pensioenhervormingen van deze en de vorige regering hebben de vergrijzingsfactuur met 1,9 % van het bbp doen dalen en het armoederisico bij de senioren is gedurende de laatste tien jaar met een derde afgenomen.",FR
1339,Ik zou uw cijfers over de evolutie van de overheidsinvesteringen nog een beetje willen nuanceren.,NF
1347,Dat is zo afgesproken en dat blijft zo.,NF
1367,Ik wens de ongerustheid van de gemeenten te vertolken.,NF
1440,Rusland is bevrijd van het communisme en het is een foute strategie om vandaag de politiek van de Koude Oorlog opnieuw in praktijk te willen brengen en Rusland als een vijand te willen zien terwijl het onze bondgenoot is.,NF
1443,In de pers lezen wij dat de federale meerderheid dan een bilan zal maken.,FNR
1450,"Het rapport is aangekondigd, maar is er vandaag nog niet.",FNR
1457,Ik vind een bilan in het midden van een mandaat ook een heel goede zaak.,NF
1460,"Wat betreft de rapporten van het Monitoringcomité, op 6 juli werd ons door het Monitoringcomité een eerste stand van zaken overgemaakt over de uitvoering van de begrotingsmaatregelen.",FNR
1482,Opnieuw mislopen we fiscale inkomsten.,NF
1499,"Voor elk van de zes trajecten werd een visienota opgemaakt, die het toepassingsveld duidelijk afbakent en die een heldere visie op de prioriteiten weergeeft.",FNR
1516,Het is wel degelijk de verantwoordelijkheid van het kabinet-Vandeput om het redesignproject te bekijken.,NF
1545,"Het evaluatie-instrument werd ontworpen door het UC Leuven- Limburg en bestaat uit een vragenlijst die moet worden ingevuld door de politie, de magistraat of een persoon die op een andere manier beroepsmatig bij de feiten betrokken is.",FNR
1622,"Met iedere maand die voorbijgaat, gaan er jobs verloren… We wachten op de wet tot omzetting van de richtlijn.",NF
1629,Ook de vorige regering heeft al een hervorming doorgevoerd.,FNR
1646,"In Nederland gaat het bijvoorbeeld over openbare aanbestedingen, terwijl men in België werkt met een systeem van domeinconcessies, waaraan heel wat voorwaarden zijn verbonden.",FNR
1754,"Zoals te verwachten, werden geen bewijzen geleverd die de Russische beschuldigingen zouden ondersteunen, ondanks de beweringen van de Russische ambassadeur dat de Russische militairen in Syrië over de middelen beschikken om een controle van de luchtoperaties over het hele Syrische territorium uit te voeren.",FR
1761,De wapenstilstand moet worden uitgebreid om humanitaire interventies toe te laten en politieke oplossingen te zoeken.,NF
1809,"Mijnheer de minister van Buitenlandse Zaken, ik denk dat wij in deze kwestie heel duidelijk moeten zijn, wij moeten Rusland een krachtig signaal geven dat wij dit niet pikken.",NF
1845,"Wat Canada betreft, is dat zelfs 90 %.",FR
1848,Wij hebben een staatssecretaris voor Buitenlandse Handel.,FNR
1874,In een poging om de situatie te verbeteren heb ik gisteren met minister-president Paul Magnette en eurocommissaris Cecilia Malmström vergaderd.,FNR
1875,De Waalse regering vroeg nog verduidelijkingen over vier punten.,FNR
1886,"Dat is juist, maar in 2001 is die bevoegdheid wel verregaand uitgediept met de regering-Verhofstadt en toen hebt u voorgestemd.",FR
1920,U bespaart 20 miljoen euro ten koste van de jongeren.,FR
1926,U reageerde in een aantal Vlaamse kranten met de mededeling dat u niet over aanwijzingen beschikt dat het offensief in Mosoel een concrete dreiging met zich meebrengt.,FNR
1937,De eurocommissaris voor Veiligheid vreest voor een toestroom van jihadisten naar Europa als gevolg van het lopende militaire offensief.,FR
1938,"Mijnheer de voorzitter, beste collega’s, mijnheer Dewinter, eerst en vooral wil ik zeggen dat ik niet denk dat ik ooit het probleem of de uitdaging geminimaliseerd heb.",NF
1952,Dat betekent dus een stap vooruit.,NF
1996,Wij houden er dus rekening mee dat zij richting Zeebrugge of richting andere havens aan de Belgische kust kunnen gaan.,FNR
2042,De uitgaven ten laste van de patiënt zijn minder hoog in het forfaitaire systeem.,FR
2046,"Mevrouw de minister, de erkenning van de medische huizen wordt on hold gezet en er wordt 7 miljoen bespaard op de rug van de meest kwetsbaren van onze samenleving.",FR
2056,Dat alles zeg ik niet; dat concluderen gezondheidseconomen in verschillende studies en het Kenniscentrum.,FR
2088,We bekijken de kostenstructuur van de medische huizen en vergelijken die.,FNR
2105,"Mevrouw de minister, als u een gebrek aan goed bestuur of misbruik vermoedt, dan vind ik dat u gerichte controles moet uitvoeren, zoals u dat ook doet in andere instellingen van de gezondheidszorg.",NF
2161,"Personen die tussen augustus 1985 en juni 1986 besmet raakten, ontvingen een schadevergoeding, maar voor personen die voor augustus 1985 besmet werden, bestaat er geen regeling.",FR
2164,"Ook in België zijn er mensen besmet geraakt door bloedtransfusies, en wel tussen 1985 en 1986, maar het heeft tot 2001 geduurd voordat de slachtoffers een eerste vergoeding kregen.",FR
2184,Wij moeten echter ook rekening houden met het feit dat het OESOrapport van 2015 ons land nog steeds in de top-3 van alle OESOlanden plaatst in de rangschikking van de duurste belastingadministraties ter wereld.,FR
2193,"Mijnheer de minister, mijn vragen aan u zijn de volgende.",FNR
2196,Dit is het resultaat van een lange weg die vijftien jaar geleden werd ingeslagen in het kader van Coperfin 2001.,FNR
2202,Tussen 2010 en 2015 is de werkwijze van de FOD Financiën vrij drastisch veranderd.,FNR
2227,"Er werden knopen doorgehakt, aangezien we de dotatieverdeling aan de NMBS en aan Infrabel hebben meegedeeld.",FNR
2233,De regering zal binnen twee à drie weken een keuze maken.,NF
2239,Deze tewerkstelling is hoger dan op de luchthavens van Charleroi en Luik samen.,FR
2261,Met één maatregel komen we er niet.,NF
2297,Ik zal rekening houden met de argumenten van de Raad van State en het wettelijke kader herzien.,NF
2322,"Net als in de commissie voor de Financiën zullen wij ons onthouden, omdat er vragen onbeantwoord blijven en de ongerustheid niet geheel is weggenomen.",NF
2419,We zullen de voorliggende tekst dus goedkeuren.,FNR
2451,"Ik heb begrepen dat het project verder wordt bekeken in de regering, onder meer met uw instemming en die van de minister van Digitale Agenda.",FNR
2477,"Omdat betrokkene echter nooit in België heeft verbleven, is de enige band deze van een eventuele vroegere echtgenoot of partner.",FR
2487,"Tot mijn verbazing is de minister thans niet aanwezig, maar naar verluidt zal minister Jambon hem vervangen.",FNR
2512,"Zo niet wordt het mooi op papier, maar een chaos in de praktijk.",NF
2523,"De rekening voor het vertaalwerk bedroeg in 2011 5,8 miljoen euro.",FR
2524,"Vorig jaar liep het bedrag op tot 7 miljoen euro, wat neerkomt op ongeveer 19.000 euro per dag.",FR
2539,Dat verzoek werd op 20 mei verworpen.,FNR
2688,"Mijnheer de voorzitter, mijnheer de eerste minister, Kazachgate loopt toch echt wel de spuitgaten uit.",NF
2691,Ik denk dat u toch eens een grondige denkoefening mag beginnen over ethiek in de politiek en over ethiek bij de uitvoerende macht.,NF
2800,"Ik doe dat zelf ook, zoals wellicht heel velen in deze zaal en daarbuiten, om nog te zwijgen van de 1,8 miljoen vrijwilligers die ons land telt.",FR
2805,"Mijnheer de premier, de federale overheid geeft al jarenlang extra subsidies om voor extra winteropvang te zorgen, ten bedrage van jaarlijks 1,4 miljoen euro.",FR
2810,"Sinds 2010 zijn er 30 % daklozen bijgekomen en jaar na jaar sterven er meer mensen op straat omwille van dakloosheid, vorige jaar telden wij nog 72 doden.",FR
2816,"De eerste minister heeft het gezegd, de transparantie zal er komen in het Parlement.",FNR
2823,Ik heb tot nu toe 750.000 euro van het belastingsgeld overgemaakt.,FNR
2827,"Voor de nabije toekomst kan ik één zaak verzekeren, met name dat wij de daklozen in Brussel niet in de steek zullen laten.",NF
2842,"Mijnheer de voorzitter, mijnheer de premier, mevrouw Onkelinx, ik hoop dat u nu eindelijk uw partij eens gaat opkuisen.",NF
2858,Volgende week doen we dat.,NF
2869,Voorlopig heb ik daar nog niet veel van gezien.,NF
2897,Ik meen zelfs een jaarlijks ritme in het hernieuwen van dat voorstel te herkennen.,NF
2927,Soms staan er zaken in de pers die na onderzoek niet helemaal waar blijken te zijn.,FNR
2941,Er zijn nog twee andere categorieën.,FNR
2986,"De Ministerraad heeft inderdaad beslist om bijkomende middelen vrij te maken voor een bedrag van een miljard euro, zoals u al zei, boven op het saldo van het GEN-fonds en van de prefinanciering van het Waals Gewest.",FR
3040,Die moeten de handen in elkaar slaan om de drieste strijd tegen de drugs te winnen.,NF
3041,Het plan is daar ontstaan en gerijpt.,FNR
3051,Er werd nog nooit zoveel cocaïne en drugs verhandeld in Antwerpen als vandaag het geval is.,FR
3092,De contacten gebeuren tussen de politiediensten.,FNR
