sentence_id,content,ID,S_ID,LENGTH,POL,SUBJ,LEMMA_SENT,POS_SENT,LEMMA_POS,category
499," Mijnheer de minister, ik ben blij dat u erkent dat de toenmalige regering zeer goed werk heeft geleverd over de hele lijn, zoals de huidige regering dat in dit dossier de voorbije dagen heeft gedaan, met grote uitzondering van het zeer lichtzinnige lek",306,499,46,0.1381000000,0.574600000,"mijnheer de minister , ik zijn blij dat u erkent dat de toenmalig regering zeer goed werk hebben leveren over de heel lijn , zoals de huidig regering dat innen dit dossier de voorbij dag hebben doen , met groot uitzondering van het zeer lichtzinnig lek","NN DT NN , PRP MD JJ CC PRP RB CC DT JJ NN RB JJ NN MD VBN IN DT JJ NN , CC DT JJ NN PRP VB PRP NN DT JJ NNS MD VBN , IN JJ NN IN PRP RB JJ NN","mijnheer_NN de_DT minister_NN ,_, ik_PRP zijn_MD blij_JJ dat_CC u_PRP erkent_RB dat_CC de_DT toenmalig_JJ regering_NN zeer_RB goed_JJ werk_NN hebben_MD leveren_VBN over_IN de_DT heel_JJ lijn_NN ,_, zoals_CC de_DT huidig_JJ regering_NN dat_PRP innen_VB dit_PRP dossier_NN de_DT voorbij_JJ dag_NNS hebben_MD doen_VBN ,_, met_IN groot_JJ uitzondering_NN van_IN het_PRP zeer_RB lichtzinnig_JJ lek_NN",NFS
660,Wij moeten het signaal geven dat wij er alles aan zullen doen om degenen die in het verleden overtredingen hebben begaan toch te bestraffen.,383,660,25,0.0000000000,0.100000000,wij moeten het signaal geven dat wij er alles aan zullen doen om degenen die in het verleden overtreding hebben begaan toch te bestraffen .,PRP MD DT NN VB CC PRP RB PRP RP MD VB CC PRP PRP IN DT NN NNS VBP VBN RB TO VB .,wij_PRP moeten_MD het_DT signaal_NN geven_VB dat_CC wij_PRP er_RB alles_PRP aan_RP zullen_MD doen_VB om_CC degenen_PRP die_PRP in_IN het_DT verleden_NN overtreding_NNS hebben_VBP begaan_VBN toch_RB te_TO bestraffen_VB ._.,NFS
794,We moeten vandaag een echt staakt-het-vuren in Aleppo vragen.,447,794,10,0.2000000000,0.400000000,we moeten vandaag een echt staakt-het-vuur in aleppo vragen .,PRP VBP RB DT JJ NNS IN NNP VB .,we_PRP moeten_VBP vandaag_RB een_DT echt_JJ staakt-het-vuur_NNS in_IN aleppo_NNP vragen_VB ._.,NFS
817,Dat mag ons niet verhinderen actie te ondernemen.,459,817,9,0.0000000000,0.000000000,dat mogen ons niet verhinderen actie te ondernemen .,PRP MD PRP$ RB RB NN TO VB .,dat_PRP mogen_MD ons_PRP$ niet_RB verhinderen_RB actie_NN te_TO ondernemen_VB ._.,NFS
132,Het kiwimodel werkt bij ons niet,56,132,6,0.0000000000,0.000000000,het kiwimodel werken bij ons niet,DT NN VBZ IN PRP$ RB,het_DT kiwimodel_NN werken_VBZ bij_IN ons_PRP$ niet_RB,NFS
132,Het kiwimodel werkt bij ons niet,128,132,6,0.0000000000,0.000000000,het kiwimodel werken bij ons niet,DT NN VBZ IN PRP$ RB,het_DT kiwimodel_NN werken_VBZ bij_IN ons_PRP$ niet_RB,NFS
345,"Collega’s, een verkoopdossier is uiterst delicaat",222,345,9,0.0000000000,0.800000000,"collega ’  , een verkoopdossier zijn uiterst delicaat","NN NN NNS , DT NN MD JJ NN","collega_NN ’_NN _NNS ,_, een_DT verkoopdossier_NN zijn_MD uiterst_JJ delicaat_NN",NFS
64," Mijnheer de minister, u zou mij hiermee bijzonder gelukkig maken",30,64,11,1.0000000000,1.000000000,"mijnheer de minister , u zullen mij hiermee bijzonder gelukkig maken","NN DT NN , PRP MD PRP RB JJ JJ VB","mijnheer_NN de_DT minister_NN ,_, u_PRP zullen_MD mij_PRP hiermee_RB bijzonder_JJ gelukkig_JJ maken_VB",NFS
64," Mijnheer de minister, u zou mij hiermee bijzonder gelukkig maken",102,64,11,1.0000000000,1.000000000,"mijnheer de minister , u zullen mij hiermee bijzonder gelukkig maken","NN DT NN , PRP MD PRP RB JJ JJ VB","mijnheer_NN de_DT minister_NN ,_, u_PRP zullen_MD mij_PRP hiermee_RB bijzonder_JJ gelukkig_JJ maken_VB",NFS
136,De patiënten zullen 60 miljoen euro minder betalen voor hun geneesmiddelen,58,136,11,0.0000000000,0.000000000,de patiënt zullen 60 miljoen euro minder betalen voor hun geneesmiddeel,DT NNS MD CD CD NN CD VB IN PRP$ NNS,de_DT patiënt_NNS zullen_MD 60_CD miljoen_CD euro_NN minder_CD betalen_VB voor_IN hun_PRP$ geneesmiddeel_NNS,CFS
