content,category
Ik meen dat van business as usual er nu geen sprake kan zijn.,NFS
" Mijnheer de minister, ik ben blij dat u erkent dat de toenmalige regering zeer goed werk heeft geleverd over de hele lijn, zoals de huidige regering dat in dit dossier de voorbije dagen heeft gedaan, met grote uitzondering van het zeer lichtzinnige lek",NFS
De vijfde categorie zijn zij waarvan de diensten vermoeden dat zij misschien wel de intentie zouden kunnen hebben om te vertrekken.,UFS
Onze partij levert een minister van Energie die zich met een onuitputtelijke energie stort op het realiseren van hernieuwbare doelstellingen en het energiezuinig maken van gebouwen.,NFS
"De commissievoorzitter had het ook over gemiddeld 538 onderscheppingen per maand in onze provincie West- Vlaanderen gedurende het voorbije half jaar, wat een hoog cijfer is.",CFS
Wij moeten het signaal geven dat wij er alles aan zullen doen om degenen die in het verleden overtredingen hebben begaan toch te bestraffen.,NFS
"Naast een bedrag van een miljard euro voor het GEN-project zal 436 miljoen euro vrijgemaakt worden voor andere projecten, namelijk 53 miljoen euro voor Wallonië, 368 miljoen voor Vlaanderen en 15 miljoen euro buiten de verdeelsleutel.",CFS
"Er is wetgeving in dit land, mijnheer Vuye, en iedereen doet zijn best om de wetgeving te respecteren.",NFS
We moeten vandaag een echt staakt-het-vuren in Aleppo vragen.,NFS
Ik meen dat er op dat vlak eigenlijk geen discussie is in het Parlement.,NFS
De voorbije jaren zijn de kosten voor de medische huizen met meer dan 10 % per jaar gestegen.,CFS
Dat mag ons niet verhinderen actie te ondernemen.,NFS
Ik denk dat wij menselijke dingen hebben gevraagd.,NFS
Het kiwimodel werkt bij ons niet,NFS
"De heer Gosuin, minister van Werk in Brussel, lacht ons vierkant uit.",NFS
"In 2008 was er een rapport van het Federaal Kenniscentrum met een analyse van het verschil tussen de kosten in traditionele geneeskundige praktijken en de kosten in wijkgezondheidscentra, die forfaitair worden vergoed.",UFS
"Collega’s, een verkoopdossier is uiterst delicaat",NFS
"Mijnheer de voorzitter, mijnheer de minister, ik kom terug op de vergadering van de commissie voor de Binnenlandse Zaken van gisteren, waar wij een aantal samengevoegde vragen stelden over Calais en de illegale transitmigranten.",UFS
"Er is wel gewenning, ook bij de publieke opinie, bij de media en zelfs bij de politiek.",NFS
"Mijnheer de voorzitter, mevrouw Gantois, de nationale systemen voor verplichte etikettering van de oorsprong van levensmiddelen veroorzaken reeds meerdere jaren een diepe kloof aan de tafel van de Europese Raad.",NFS
"Deze trend is weliswaar in alle Europese landen zichtbaar, maar België bengelt aan de staart van het Europese peloton.",CFS
"Het aantal slachtoffers is bekend: het gaat om 1.242 rechtstreekse slachtoffers voor hepatitis C, 41 voor aids en om 6.250 onrechtstreekse slachtoffers.",CFS
"U weet dat ik hier al meermaals heb gezegd dat de strijd tegen de mensensmokkel één van mijn prioriteiten is, die ook is opgenomen in het Nationaal Veiligheidsplan.",NFS
Uit uw vraag blijkt het belang om de problematiek van de vluchten op een globale en overlegde wijze aan te pakken.,NFS
" Mijnheer de minister, u zou mij hiermee bijzonder gelukkig maken",NFS
Uit dezelfde speech van 12 jaar geleden.,NFS
De patiënten zullen 60 miljoen euro minder betalen voor hun geneesmiddelen,CFS
De Nationale Raad voor de paramedische beroepen heeft in 2013 al een negatief advies uitgebracht over de erkenning van dit beroep.,CFS
Wij moeten er dus zeker voor zorgen dat wij voldoende hebben geleerd uit de ervaring van 2012 en de periode daarvoor.,NFS
